jackknife,year,region_combined,mean_species_diversity
Groundfish,1985.0,Alaska Peninsula,1.58057713327278
Groundfish,1985.0,Bristol Bay,1.219394884697054
Groundfish,1985.0,Kodiak,1.7584983553351432
Groundfish,1985.0,PWS/Cook Inlet,1.7060744767732943
Groundfish,1985.0,Southeast,1.9235213961295237
Groundfish,1985.0,NA,1.7504260164930396
Groundfish,1986.0,Alaska Peninsula,1.5477167337812507
Groundfish,1986.0,Bristol Bay,1.140481783593452
Groundfish,1986.0,Kodiak,1.6490855841707368
Groundfish,1986.0,PWS/Cook Inlet,1.694796781799491
Groundfish,1986.0,Southeast,1.8049958024378365
Groundfish,1986.0,NA,1.6996656599103215
Groundfish,1987.0,Alaska Peninsula,1.4971642173492001
Groundfish,1987.0,Bristol Bay,1.1208298650793034
Groundfish,1987.0,Kodiak,1.7962894067444848
Groundfish,1987.0,PWS/Cook Inlet,1.4100892986871472
Groundfish,1987.0,Southeast,1.9697004121163542
Groundfish,1987.0,NA,1.7421239222928033
Groundfish,1988.0,Alaska Peninsula,1.987552042526167
Groundfish,1988.0,Bristol Bay,1.1524909618994053
Groundfish,1988.0,Kodiak,1.8996834383162857
Groundfish,1988.0,PWS/Cook Inlet,1.7494139331063576
Groundfish,1988.0,Southeast,2.10066770437517
Groundfish,1988.0,NA,1.8780766679067464
Groundfish,1989.0,Alaska Peninsula,1.5078371123588366
Groundfish,1989.0,Bristol Bay,1.1348028052332326
Groundfish,1989.0,Kodiak,1.0975903000623564
Groundfish,1989.0,PWS/Cook Inlet,1.4439447191050954
Groundfish,1989.0,Southeast,1.8472487039680907
Groundfish,1989.0,NA,NaN
Groundfish,1990.0,Alaska Peninsula,1.437882716514391
Groundfish,1990.0,Bristol Bay,1.0793475300231177
Groundfish,1990.0,Kodiak,1.5569671112401287
Groundfish,1990.0,PWS/Cook Inlet,1.6074212713365121
Groundfish,1990.0,Southeast,1.828133102174883
Groundfish,1990.0,NA,1.8319516959851951
Groundfish,1991.0,Alaska Peninsula,1.5145898944748832
Groundfish,1991.0,Bristol Bay,1.0928032661671396
Groundfish,1991.0,Kodiak,1.7382423449091753
Groundfish,1991.0,PWS/Cook Inlet,1.5240779344389421
Groundfish,1991.0,Southeast,1.806653161687668
Groundfish,1991.0,NA,1.7781146655463171
Groundfish,1992.0,Alaska Peninsula,1.3907593841897827
Groundfish,1992.0,Bristol Bay,1.0871548923844865
Groundfish,1992.0,Kodiak,1.4103062603986862
Groundfish,1992.0,PWS/Cook Inlet,1.4202647858238318
Groundfish,1992.0,Southeast,1.7507339315193073
Groundfish,1992.0,NA,1.6853675322457065
Groundfish,1993.0,Alaska Peninsula,1.370947143743328
Groundfish,1993.0,Bristol Bay,1.062895785884223
Groundfish,1993.0,Kodiak,1.6961169211435014
Groundfish,1993.0,PWS/Cook Inlet,1.4713220436185768
Groundfish,1993.0,Southeast,1.854121471740686
Groundfish,1993.0,NA,1.4395424896745783
Groundfish,1994.0,Alaska Peninsula,1.525499136116288
Groundfish,1994.0,Bristol Bay,1.094797138484986
Groundfish,1994.0,Kodiak,1.7627500220611403
Groundfish,1994.0,PWS/Cook Inlet,1.6072806114084632
Groundfish,1994.0,Southeast,1.760065543435083
Groundfish,1994.0,NA,1.3593886622162825
Groundfish,1995.0,Alaska Peninsula,1.4472860696775494
Groundfish,1995.0,Bristol Bay,1.089553244807654
Groundfish,1995.0,Kodiak,1.8078913665445804
Groundfish,1995.0,PWS/Cook Inlet,1.6232998977018664
Groundfish,1995.0,Southeast,1.824684595708356
Groundfish,1995.0,NA,1.6953899590890602
Groundfish,1996.0,Alaska Peninsula,1.2422066913150382
Groundfish,1996.0,Bristol Bay,1.0824633444535603
Groundfish,1996.0,Kodiak,1.2540489357298055
Groundfish,1996.0,PWS/Cook Inlet,1.276737528036855
Groundfish,1996.0,Southeast,1.7466884883398408
Groundfish,1996.0,NA,1.291107938826579
Groundfish,1997.0,Alaska Peninsula,1.2603125884455386
Groundfish,1997.0,Bristol Bay,1.0792306500833024
Groundfish,1997.0,Kodiak,1.8311739284423965
Groundfish,1997.0,PWS/Cook Inlet,1.2372753032322186
Groundfish,1997.0,Southeast,1.8366514890378494
Groundfish,1997.0,NA,1.4153869774332926
